Auditoria Ambiental da Companhia Docas do Ceará;;;;;;;;;;;;
;;;;;;;;;;;;
ITEM;PROCEDIMENTO;REQUISITO VERIFICADO;EVIDÊNCIA OBJETIVA;CLASSIFICAÇÃO;DESCRIÇÃO DETALHADA;IMPACTO RISCO;AÇÃO PROPOSTA;PRAZO IMPLEMENTAÇÃO;STATUS IMPLEMENTAÇÃO;DATA AUDITORIA;OBSERVAÇÕES COMPLEMENTARES;DOCUMENTOS REFERÊNCIA
REQ.011;PS-011-09 Controle de licenças ambientais;Controle dos Licenciamentos Ambientais das empresas que operam no Porto de Fortaleza.;Lista com todas as licenças vigentes;Oportunidade de Melhoria;Lista com cada empresa e cada licença com sua respectiva validade;Médio;Manter conformidade;Semestral;Em Andamento;25/09/2025;Implementação de sistema automatizado de controle das licenças;Verificar CON-02
REQ.012;PS-012-09 Codificação dos documentos do SGA;Estabelecimento dos fluxos dos documentos;Fluxograma dos Documentos do SGA;Conforme;Registros e controles dos procedimentos operacionais do SGA;Baixo;Manter conformidade;Contínuo;Concluído;25/09/2025;Manter os fluxos atualizados;PS-012
REQ.013;PO-001-08 Controle movimentação resíduos;Controle de Movimentação de Resíduos Sólidos;Certificado de Retirada de Resíduos;Conforme;Manifesto com todos os resíduos que foram retirados;Alto;Manter conformidade;Contínuo;Em Andamento;25/09/2025;Controlar a movimentação dos resídios sólidos;Verificar SDP.
REQ.014;PO-002-09 Movimentação de resíduos sólidos;Registrar todas as movimentações diárias dos resíduos;Certificado de Retirada e Manifesto de Transportes;Conforme;Verificação de manifestos e dos registros apresentados pelas embarcações;Alto;Manter conformidade;Contínuo;Em Andamento;25/09/2025;Registrar todos os manifestos dos resídios e buscar a conformidade;Certificados de Retiradas de Resíduos.
REQ.015;PO-003-10 Funcionamento de Bombas de Incêndio;Funcionamento de bombas de combate a incêndio;Registro de funcionamento de bombas de combate a incêncio;Oportunidade de Melhoria;Verificação do funcionamento das bombas de incendio e informa resultado aos interessados.;Alto;Alterar formato de registro com fotografias e email.;Contínuo;Em Andamento;25/09/2025;Verificar semanalmente o funcionamento das bombas de incêncido;Registros fotograficos.
REQ.016;PO-004-09 Emissão de permissão de serviço;Emissão da permissão de serviço;Certificado de Permissão de Serviço;Observação;Emitir a PS para as empresas que prestam serviço à CDC na área do porto.;Médio;Manter conformidade e controle rigoroso;Contínuo;Em Andamento;25/09/2025;Comunicar as áreas que contratam serviços para a emissão da PS.;REG07
REQ.017;PO-005-09 Fiscalização de segurança do trabalho;Verificar a Permissão de Serviço;Fazer a Inspeção no local, Verificar a Permissão de Serviço e Registrar as condições do serviço;Oportunidade de Melhoria;Cobrar a apresentação da Permissão de Serviço e uso dos EPI's pelos prestadores;Médio;Oportunidade de melhoria em documentação do ordem de serviço;31/12/2025;Em Andamento;25/09/2025;Manter a fiscalização nas obras e serviços executados no Porto.;Emial de comunicação das inspeções.
REQ.018;PO-006-04 Amarração de Navio;Procedimento operacional para amarração de navios;Verificar os equipamentos de segurança para atividade;Conforme;Verificação de colete salva vidas, Luvas de vaqueta/algodão, calçados e capacete de segurança;Médio;Manter conformidade;Contínuo;Em Andamento;25/09/2025;Verificar se foram cumpridos os requisitos de segurança;Acompanhar e registrar atividade
REQ.019;PO-007-09 Recolhimento de Resíduos em Terra;Recolhimento de Resíduos em Terra Provocados Por Acidente;Fluxograma das ações de recuperação de substância na praia;Conforme;Reduzir a poluição ambiental provocada por acidentes ambientais no Porto de Fortaleza;Médio;Manter conformidade;Contínuo;Concluído;25/09/2025;Reparar o acidente e diminuir o máximo possível a poluição;Acompanhar e registrar atividade
REQ.020;PO-008-09 Atendimento de Emergência no Porto;Atendimento de Emergência no Porto de Fortaleza;Fluxograma das ações de emergência no Porto;Conforme;Mitigar as ocorrências em caso de acidentes;Alto;Manter conformidade;Contínuo;Concluído;25/09/2025;Preparação e resposta à emergências;Acompanhar e registrar atividade
REQ.021;PO-009-08 Monitoramento de Ruído;Monitorar a poluição ambiental provocada por ruído no Porto de Fortaleza;Ficha de Monitoramento de Ruído;Conforme;Reduzir a poluição ambiental provocada por ruído no Porto de Fortaleza;Baixo;Manter conformidade;anual;Não Iniciado;25/09/2025;Fazer a medição nos pontos indicados na Ficha de Monitoramento de Ruído;Relatório de Ruído
REQ.022;PO-011-09 Liberação de Abastecimento de Embarcação;Verificar solicitação de abastecimento de embarcação na área de operação;E-mails e comunicados;Oportunidade de Melhoria;Verificação de comunicação interna e externa;Baixo;Manter conformidade;Contínuo;Concluído;25/09/2025;Reforçar a ação de controle no nível operacional do abastecimento de embarções na área de operação.;Email existente.
REQ.023;PO-012-07 Descarga de Resíduos de Hidrocarbonetos;Descarga dos resíduos oleosos de hidrocarbonetos de embarcações;Certificado de Retirada de Resíduos de Embarcação ou Certificado de Retirada de Resíduos em terra;Conforme;Receber Manifesto de Transporte de Resíduos MTR e Certificado correspondente para descarga de resíduo oleoso de hidrocarboneto;Médio;Manter conformidade;Contínuo;Em Andamento;25/09/2025;Reforçar a ação de controle no nível operacional do abastecimento de embarções na área de operação.;Email existente.
REQ.024;PO-013-07 Descarga de Resíduos Oleosos;Descarga de Resíduos Oleosos;Certificado de Retirada de Resíduos de Embarcação ou Certificado de Retirada de Resíduos em terra;Conforme;Verificação de controle de documentos e registros;Médio;Manter conformidade;Contínuo;Em Andamento;25/09/2025;Reforçar a ação de controle no nível operacional do abastecimento de embarções na área de operação.;Email existente.
REQ.025;PO-014-07 Descarga de Efluentes;Descarga de Efluentes;Certificado de Retirada de Resíduos de Embarcação ou Certificado de Retirada de Resíduos em terra;Oportunidade de Melhoria;Verificação de controle de documentos e registros;Baixo;Manter conformidade;Contínuo;Em Andamento;25/09/2025;Registrar todas as movimentações diarias dos efluentes de embarcações e evitar a poluição ambiental e acidentes de trabalho;Email existente. Revisar texto do PO 014 (atividade crítica- substituir resíduos oleosos para descarga de efluente ).
REQ.026;PO-015-08 Descarga de Produtos Químicos;Descarga de Produtos Químicos;Receber informação de descarga de produto químico do usuário ou agente e Manifesto de Carga, Ficha de Emergência do Produto Químico -IMDG (pelo menos 24 horas antes da operação, conforme NR-29;Conforme;Verificação de cumprimento da legislação ambiental;Médio;Manter conformidade;Contínuo;Em Andamento;25/09/2025;Cumprimento da legislação ambiental referente a descarga de produtos químicos;Email da operadora portuária CMA CGM indicando a presença da carga perigosa.
REQ.027;PO-016-08 Manutenção de Casco de Embarcação;Manutenção de Casco de Embarcação;solicitação de manutenção de casco de embarcações;Conforme;Receber informação de solicitação de manutenção de casco de embarcação por parte de usuário ou agente;Baixo;Manter conformidade;Contínuo;Em Andamento;25/09/2025;Garantir o recolhimento dos resíduos gerados atendendo o REP do porto.;Email solicitando autorização.
REQ.028;PO-017-08 Armazenamento de Cargas Condenadas;Armazenamento de Cargas Condenadas;Registro de todas as movimentações de cargas condenadas;Conforme;Verificação de procedimento para fiscalização das operações portuárias;Baixo;Manter conformidade e monitoramento contínuo;Contínuo;Em Andamento;25/09/2025;Procedimento para controle de higiene, segurança e limpeza.;PO 017.
REQ.029;PO-019-07  Descarte de Materiais Inservíveis;Descarte de Materiais Inservíveis;Realizar descarte de materiais inservíveis, adequadamente;Conforme;"Verificar a movimentação de materiais inservíveis (são considerados materiais inservíveis aqueles que foram retirados de equipamentos ou ferramentas que não podem ser destinados diretamente no aterro sanitário: pneus velhos/usados; baterias e pilhas em geral, lâmpadas fluorescentes), ou material administrativo para leilão";Médio;Manter conformidade e monitoramento contínuo;Contínuo;Em Andamento;25/09/2025;Procedimento para descarte adequado dos materiais inservíveis evitar a poluição ambiental, manter a limpeza e evitar acidentes de Trabalho;PO 019.
REQ.030;PO-020-08 Abastecimento de Água Potável;Abastecimento de Água Potável para Embarcação;Verificar solicitação de abastecimento de água potável de embarcação na área de operação;Conforme;Controlar a Potabilidade da água de abastecimento das embarcações no Porto de Fortaleza.;Alto;Manter conformidade;Contínuo;Em Andamento;25/09/2025;Garantia da Potabilidade da água fornecida segundo critérios técnicos normatizados (características físico-químicas e bacteriológica da qualidade da água) para abastecimento das embarcações por meio de caminhão - pipa;Email solicitando autorização.
REQ.031;PO-021-08 Fiscalização do uso dos EPIs;Fiscalização do uso dos EPIs;Registro de Controle de Uso de EPIs (EMAIL ou CI);Conforme;Controlar o uso dos equipamentos de proteção nas áreas onde o uso é obrigatório por parte dos usuários e trabalhadores no Porto de Fortaleza.;Médio;Manter conformidade;Contínuo;Em Andamento;25/09/2025;Registrar no processo de controle do serviço a ocorrência de trabalhador sem uso do EPI para avaliação em futuras contratações;Email de registros.
REQ.032;PO-022-06 Fiscalização dos Sanitários da CDC;Fiscalização das Condições das Instalações dos Sanitários da CDC;Registro de Inspeção de Instalações Sanitárias;Oportunidade de Melhoria;Manter as condições dos ambientes das instalações sanitárias do Porto de Fortaleza em perfeito estado de conservação e limpeza, disponibilizando os materiais necessários para o uso adequado das instalações;Baixo;Manter conformidade e controle rigoroso;Contínuo;Em Andamento;25/09/2025;Controle de higiêne das instalações sanitárias do Porto de Fortaleza;REG 04 deve ser atualizado com o NOVO formulário da COADMI.
REQ.033;PO-023-05 Fiscalização das Operações Portuárias;Fiscalização das Operações Portuárias;Relatório de Inspeção Portuária - RIP / Relatório de Ocorrência Portuária - RoP;Conforme;Controlar as condições de higiene, segurança e limpeza das operações portuárias do Porto de Fortaleza;Alto;Manter conformidade e controle rigoroso;Contínuo;Em Andamento;25/09/2025;A fiscalização deverá se conduzida, pelo menos uma vez em cada operação podendo ser repetida no mesmo expediente ou no próximo, para avaliar a condição de atendimento de não-conformidades registradas;Relatórios de Inspeção Portuária-RIPs /ROPs
REQ.034;PO-024-02 Operação com granel sólido;Operação com granel sólido;Termo de compromisso previsto no Regulamento de Exploração do Porto de Fortaleza;Conforme;Verificação da identificação de diretrizes para operação com granel sólido com controle de poluição e evitar acidentes;Alto;Manter conformidade e acompanhamento operacional;Contínuo;Em Andamento;25/09/2025;Mitigar os riscos de acidente e controlar a poluição da operação;Email da operação.
REQ.035;PO-027-01 Produtos Perigosos quando em trânsito;Procedimento para Produtos Perigosos quando em trânsito;Anexo VII - Declaração de Mercadorias Perigosas;Conforme;Controlar a circulação de cargas perigosas quando em trânsito na instalação do Porto de Fortaleza;Alto;Manter conformidade e revisão periódica;Contínuo;Em Andamento;25/09/2025;A inspeção deverá se conduzida, periodicamente, e detectada alguma irregularidade, encaminhar para as áreas responsáveis;Email da operadora portuária CMA CGM indicando o trânsito da carga perigosa.
REQ.036;PO-026-03 Manutenção do armazém;Manutenção das Condições Higiênicas do Armazém de Importação/Exportação;Lista de Verificação do Armazém (EMAIL ou CI);Conforme;Garantir as condições de higiene da instalação do armazém de importação/exportação de cargas sujeitas a fiscalização da ANVISA no Porto de Fortaleza;Baixo;Manter conformidade e atualização periódica;Contínuo;Em Andamento;25/09/2025;Realizar inspeção periódica dos ambientes do armazém de Importação/Exportação do Porto de Fortaleza; Relatório de inspeção periódico
REQ.037;PO-025-03 Garantia de Armazenamento;Sistema de garantia da qualidade das cargas sujeitas à fiscalização da ANVISA desovadas no Armazém de Importação/Exportação.;Auto-inspeção de Instalações de Armazenagem;Conforme;Garantir a qualidade e integridade das cargas sujeitas à fiscalização da ANVISA desovadas no Armazém de Exportação/Importação;Médio;Manter conformidade e atualização periódica;Contínuo;Em Andamento;25/09/2025;Em caso de presença de carga no armazém, a inspeção deverá ser conduzida, diariamente, em caso de presença de carga no armazém;REG 12
